date,midprice,callput,ttm,spxclose,r,q,strike
31/12/2009,0.2,0,170,1115.1,0.32370001,2.0682471,1650
31/12/2009,0.2,0,170,1115.1,0.32370001,2.0682471,1600
31/12/2009,46.099998,1,107,1115.1,0.29705501,2.0682471,1100
31/12/2009,74.449997,1,170,1115.1,0.32370001,2.0682471,1125
31/12/2009,0.64999998,0,352,1115.1,0.565162,2.0682471,1600
31/12/2009,76.849998,1,170,1115.1,0.32370001,2.0682471,1130
31/12/2009,87.050003,1,170,1115.1,0.32370001,2.0682471,1150
31/12/2009,92.650002,1,170,1115.1,0.32370001,2.0682471,1160
31/12/2009,98.5,1,170,1115.1,0.32370001,2.0682471,1170
31/12/2009,542.20001,1,170,1115.1,0.32370001,2.0682471,1650
31/12/2009,492.25,1,170,1115.1,0.32370001,2.0682471,1600
31/12/2009,101.55,1,170,1115.1,0.32370001,2.0682471,1175
31/12/2009,104.6,1,170,1115.1,0.32370001,2.0682471,1180
31/12/2009,111,1,170,1115.1,0.32370001,2.0682471,1190
31/12/2009,63.5,1,170,1115.1,0.32370001,2.0682471,1100
31/12/2009,498,1,352,1115.1,0.565162,2.0682471,1600
31/12/2009,94.300003,1,261,1115.1,0.45323801,2.0682471,1125
31/12/2009,106.9,1,261,1115.1,0.45323801,2.0682471,1150
31/12/2009,120.8,1,261,1115.1,0.45323801,2.0682471,1175
31/12/2009,83.050003,1,261,1115.1,0.45323801,2.0682471,1100
31/12/2009,110.8,1,352,1115.1,0.565162,2.0682471,1125
31/12/2009,123.4,1,352,1115.1,0.565162,2.0682471,1150
31/12/2009,136.89999,1,352,1115.1,0.565162,2.0682471,1175
31/12/2009,98.650002,1,352,1115.1,0.565162,2.0682471,1100
31/12/2009,765.34998,0,16,1115.1,0.228002,2.0682471,350
31/12/2009,815.34998,0,16,1115.1,0.228002,2.0682471,300
31/12/2009,762.94995,0,51,1115.1,0.250521,2.0682471,350
31/12/2009,812.94995,0,51,1115.1,0.250521,2.0682471,300
31/12/2009,861.34998,0,79,1115.1,0.270356,2.0682471,250
31/12/2009,911.40002,0,79,1115.1,0.270356,2.0682471,200
31/12/2009,761.40002,0,79,1115.1,0.270356,2.0682471,350
31/12/2009,811.34998,0,79,1115.1,0.270356,2.0682471,300
31/12/2009,905.70001,0,170,1115.1,0.32370001,2.0682471,200
31/12/2009,805.84998,0,170,1115.1,0.32370001,2.0682471,300
31/12/2009,850.5,0,261,1115.1,0.45323801,2.0682471,250
31/12/2009,900.29999,0,261,1115.1,0.45323801,2.0682471,200
